cf_factcleanenergyspendingid,cf_sourcetable,cf_period,cf_program,cf_dacstatus,cf_customersegmentcode,cf_measurecategorycode,cf_incentivedollars,cf_participants,cf_highimpactdacpct
"f55aaaaa-aaaa-4aaa-8aaa-000000000030","LEGACY_A1_2024_Commercial_Industrial_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000015","b2222222-2222-2222-2222-222222220002","ALL",,42394840,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000031","LEGACY_A1_2024_Clean_Heat_Multifamily_Air_Source_He_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000007","b2222222-2222-2222-2222-222222220001","ALL",,27928074,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000032","LEGACY_A1_2024_Clean_Heat_Multifamily_Air_Source_He_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000007","b2222222-2222-2222-2222-222222220002","ALL",,14735552,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000033","LEGACY_A1_2024_Multifamily_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000018","b2222222-2222-2222-2222-222222220001","ALL",,15476005,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000034","LEGACY_A1_2024_Multifamily_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000018","b2222222-2222-2222-2222-222222220002","ALL",,19081136,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000035","LEGACY_A1_2024_Small_Medium_Business_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000023","b2222222-2222-2222-2222-222222220001","ALL",,9180221,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000036","LEGACY_A1_2024_Small_Medium_Business_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000023","b2222222-2222-2222-2222-222222220002","ALL",,8494678,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000037","LEGACY_A1_2024_Clean_Heat_Commercial_Industrial_Air_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000005","b2222222-2222-2222-2222-222222220001","ALL",,3436916,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000038","LEGACY_A1_2024_Clean_Heat_Commercial_Industrial_Air_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000005","b2222222-2222-2222-2222-222222220002","ALL",,10796590,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000039","LEGACY_A1_2024_Clean_Heat_Small_Medium_Business_Air_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000014","b2222222-2222-2222-2222-222222220001","ALL",,3285890,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000040","LEGACY_A1_2024_Clean_Heat_Small_Medium_Business_Air_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000014","b2222222-2222-2222-2222-222222220002","ALL",,7135455,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000041","LEGACY_A1_2024_Retail_Products_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000021","b2222222-2222-2222-2222-222222220001","ALL",,5117078,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000042","LEGACY_A1_2024_Retail_Products_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000021","b2222222-2222-2222-2222-222222220002","ALL",,2957614,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000043","LEGACY_A1_2024_Clean_Heat_Multifamily_Ground_Source_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000008","b2222222-2222-2222-2222-222222220001","ALL",,6579092,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000044","LEGACY_A1_2024_Clean_Heat_Multifamily_Ground_Source_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000008","b2222222-2222-2222-2222-222222220002","ALL",,114661,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000045","LEGACY_A1_2024_Clean_Heat_Residential_Ground_Source_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000012","b2222222-2222-2222-2222-222222220001","ALL",,547990,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000046","LEGACY_A1_2024_Clean_Heat_Residential_Ground_Source_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000012","b2222222-2222-2222-2222-222222220002","ALL",,4907388,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000047","LEGACY_A1_2024_Instant_Lighting_DAC","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000017","b2222222-2222-2222-2222-222222220001","ALL",,1718406,,
"f55aaaaa-aaaa-4aaa-8aaa-000000000048","LEGACY_A1_2024_Instant_Lighting_ND","a1111111-1111-1111-1111-111111110224","c44aaaaa-aaaa-4aaa-8aaa-000000000017","b2222222-2222-2222-2222-222222220002","ALL",,2754717,,
